# title: はん @highemerly
# category: handon.club
# @highemerly@handon.club の投稿より(本人確認済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
こーきー？？	こーきー？？
あさこーきー	あさこーきー
文字色は携帯百景踏襲です	もじいろはけいたいひゃくけいとうしゅうです
おやつ(昼の投稿忘れ)	おやつ(ひるのとうこうわすれ)
あ、そういえばかな入力対応したよ	あ、そういえばかなにゅうりょくたいおうしたよ
「自分の投稿を載せる」から、誰でも簡単にあなたのMastodonの投稿をタイピングゲームにできます！	「じぶんのとうこうをのせる」から、だれでもかんたんにあなたのMastodonのとうこうをたいぴんぐげーむにできます！
生データ渡して解析させると、どう頑張ってもタイムゾーンを間違うんだよな、、これだけ丁寧に説明してんのに、、、	なまでーたわたしてかいせきさせると、どうがんばってもたいむぞーんをまちがうんだよな、、これだけていねいにせつめいしてんのに、、、
ほんとGemini使うとイライラしてしまう、マジで誰が使ってんの？	ほんとGeminiつかうといらいらしてしまう、まじでだれがつかってんの？
これで本当に治ったなら回線の問題だと思いますね。タイムアウトをいじったので。	これでほんとうになおったならかいせんのもんだいだとおもいますね。たいむあうとをいじったので。
あさこーひー	あさこーひー
なんでかわからんけど夜の常磐線乗ると気分悪くなるんよな...	なんでかわからんけどよるのじょうばんせんのるときぶんわるくなるんよな...
え、これ狙って繋げてる...？	え、これねらってつなげてる...？
XのAPIの値段調べたけどクソ高いな、無理や...	XのAPIのねだんしらべたけどくそたかいな、むりや...
あー酔った	あーよった
ひるこーひー	ひるこーひー
SNS typing、誰でも自分の投稿を申請できるようになりました！ (私が手動承認後適用されます)	SNS typing、だれでもじぶんのとうこうをしんせいできるようになりました！ (わたしがしゅどうしょうにんごてきようされます)
SHAMEZO 、今すぐできる対策はとりあえず打ちました。あと、ログを仕込んだので、後日確認します。	SHAMEZO 、いますぐできるたいさくはとりあえずうちました。あと、ろぐをしこんだので、ごじつかくにんします。
回線が詰まっている場合にエラーが出やすいということはわかっていますすみません	かいせんがつまっているばあいにえらーがでやすいということはわかっていますすみません
SHAMEZOでよくエラーが出るって聞いたんですがどういうエラーメッセージでしたっけ	SHAMEZOでよくえらーがでるってきいたんですがどういうえらーめっせーじでしたっけ
無限におかねほしい2	むげんにおかねほしい2
ドア傷つけられたくなさ過ぎてスライドドアついてない車買えない病気にかかってる	どあきずつけられたくなさすぎてすらいどどあついてないくるまかえないびょうきにかかってる
あれ、、私ビール代だれに払ってもらったんだ	あれ、、わたしびーるだいだれにはらってもらったんだ
すみませんなおしたらこんなことになりました	すみませんなおしたらこんなことになりました
SHAMEZO、現在bot投稿が使えないとのことです。申し訳ありません。	SHAMEZO、げんざいbotとうこうがつかえないとのことです。もうしわけありません。
誰かXで宣伝しといて	だれかXでせんでんしといて
Web広告業界は自浄作用ゼロであることが分かってきたのでもう終わりです 本当に嫌い 今すぐ滅びろ	Webこうこくぎょうかいはじじょうさようぜろであることがわかってきたのでもうおわりです ほんとうにきらい いますぐほろびろ
目を離した隙に上の子がまだできないパズルを下の子が完成させたんやけど......	めをはなしたひまにうえのこがまだできないぱずるをしたのこがかんせいさせたんやけど......
あ、外で酒飲めるやつやっとる	あ、そとでさけのめるやつやっとる
京都鉄博！	きょうとてつはく！
SHAMEZO 1,000投稿達成ありがとう！	SHAMEZO 1,000とうこうたっせいありがとう！
はんドンクラブの通知が来なくなった方へ: 通知が来なくなったアプリ、ブラウザから一度ログアウト&ログインし直してみてください。	はんどんくらぶのつうちがこなくなったほうへ: つうちがこなくなったあぷり、ぶらうざからいちどろぐあうと&ろぐいんしなおしてみてください。
ノードメンテナンスされてたのに勝手に復旧するの強すぎるな。全部k8sに載せて本当に良かった	のーどめんてなんすされてたのにかってにふっきゅうするのつよすぎるな。ぜんぶk8sにのせてほんとうによかった
たくさんバグ報告ください！	たくさんばぐほうこくください！
SHAMEZOのフィードバックたくさんもらったので開発欲がある	SHAMEZOのふぃーどばっくたくさんもらったのでかいはつよくがある
おけいはん！	おけいはん！
本日、二重夢で、かつ中の夢で金縛りにあうという複雑な構成だった	ほんじつ、にじゅうゆめで、かつなかのゆめでかなしばりにあうというふくざつなこうせいだった
ごめんなさい！！！Vultrのメンテナンス忘れてました！！！！朝落ちてました！！！	ごめんなさい！！！Vultrのめんてなんすわすれてました！！！！あさおちてました！！！
あー ひさびさに二重夢みてた	あー ひさびさににじゅうゆめみてた
あーあしがいたい	あーあしがいたい
